Address_ID,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Location_ID,Weather_ID
65,3937.0, Iron Ct,L,Cleveland,Cuyahoga,OH,44115,US,US/Eastern,KBKL,65,65
66,,I-271 N,R,Cleveland,Cuyahoga,OH,44124,US,US/Eastern,KCGF,66,66
67,9935.0, US Highway 23,R,Lockbourne,Franklin,OH,43137,US,US/Eastern,KLCK,67,67
68,,I-90 E,R,Painesville,Lake,OH,44077,US,US/Eastern,KCGF,68,68
69,,I-90 W,R,Painesville,Lake,OH,44077,US,US/Eastern,KCGF,69,69
70,,I-71 N,R,Cleveland,Cuyahoga,OH,44135,US,US/Eastern,KCLE,70,70
71,,I-75 S,R,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,71,71
72,,Outerbelt East Fwy S,R,Cleveland,Cuyahoga,OH,44124,US,US/Eastern,KCGF,72,72
73,,I-79 S,R,Washington,Washington,PA,15301,US,US/Eastern,KAFJ,73,73
74,,I-64 W,R,Dunbar,Kanawha,WV,25064,US,US/Eastern,KCRW,74,74
75,,N Wooster Rd,R,Akron,Summit,OH,44314,US,US/Eastern,KAKR,75,75
76,,I-90 E,R,Cleveland,Cuyahoga,OH,44102,US,US/Eastern,KBKL,76,76
77,,I-90 E,R,Angola,Steuben,IN,46703,US,US/Eastern,KANQ,77,77
78,,I-80 W,R,Edon,Williams,OH,43518,US,US/Eastern,KANQ,78,78
79,,I-71 S,R,Medina,Medina,OH,44256,US,US/Eastern,KCLE,79,79
80,,I-80 W,R,Angola,Steuben,IN,46703,US,US/Eastern,KANQ,80,80
81,,I-80 W,R,Edon,Williams,OH,43518,US,US/Eastern,KANQ,81,81
82,534.0, S Broadway St,L,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,82,82
83,,I-480 E,R,Cleveland,Cuyahoga,OH,44109,US,US/Eastern,KBKL,83,83
84,,I-480 E,R,Cleveland,Cuyahoga,OH,44135,US,US/Eastern,KCLE,84,84
85,15983.0, Madison Pike,R,De Mossville,Pendleton,KY,41033,US,US/Eastern,KCVG,85,85
86,,Madison Pike,R,De Mossville,Kenton,KY,41033,US,US/Eastern,KCVG,86,86
87,,US-150 E,R,New Albany,Floyd,IN,47150,US,US/Eastern,KLOU,87,87
88,207.0, Oakwood Rd,L,Charleston,Kanawha,WV,25314,US,US/Eastern,KCRW,88,88
89,201.0, Oakwood Rd,L,Charleston,Kanawha,WV,25314,US,US/Eastern,KCRW,89,89
90,,I-77 N,R,Akron,Summit,OH,44320,US,US/Eastern,KAKR,90,90
91,,US-30 E,R,Fort Wayne,Allen,IN,46808,US,US/Eastern,KFWA,91,91
92,,I-79 S,R,Burnsville,Braxton,WV,26335,US,US/Eastern,K48I,92,92
93,,Olentangy Fwy S,R,Columbus,Franklin,OH,43214,US,US/Eastern,KOSU,93,93
94,,I-480 E,R,Bedford,Cuyahoga,OH,44146,US,US/Eastern,KBKL,94,94
95,,I-75 N,R,Cincinnati,Hamilton,OH,45237,US,US/Eastern,KLUK,95,95
96,,US-35 E,R,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,96,96
97,,I-75 N,R,Cincinnati,Hamilton,OH,45237,US,US/Eastern,KLUK,97,97
98,207.0, Oakwood Rd,L,Charleston,Kanawha,WV,25314,US,US/Eastern,KCRW,98,98
99,,Norwood Lateral Expy E,R,Cincinnati,Hamilton,OH,45212,US,US/Eastern,KLUK,99,99
100,,Outerbelt W,R,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,100,100
101,,I-65 N,R,Clarksville,Clark,IN,47129,US,US/Eastern,KLOU,101,101
102,,I-71 N,R,Cincinnati,Hamilton,OH,45202,US,US/Eastern,KLUK,102,102
103,,I-90 E,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,103,103
104,,I-76 W,R,Akron,Summit,OH,44314,US,US/Eastern,KAKR,104,104
105,,I-80 W,R,Fremont,Steuben,IN,46737,US,US/Eastern,KANQ,105,105
106,,I-75 N,R,Cincinnati,Hamilton,OH,45241,US,US/Eastern,KHAO,106,106
107,,Northwest Fwy W,R,Lakewood,Cuyahoga,OH,44107,US,US/Eastern,KCLE,107,107
108,,OH-21 N,R,Richfield,Summit,OH,44286,US,US/Eastern,KCLE,108,108
109,2400.0, Rochester Rd,L,Sewickley,Allegheny,PA,15143,US,US/Eastern,KPIT,109,109
110,332.0, S Arlington St,R,Akron,Summit,OH,44306,US,US/Eastern,KAKR,110,110
111,,I-76 W,R,Akron,Summit,OH,44311,US,US/Eastern,KAKR,111,111
112,,I-75 S,R,Cincinnati,Hamilton,OH,45237,US,US/Eastern,KLUK,112,112
113,,I-77 N,R,Charleston,Kanawha,WV,25311,US,US/Eastern,KCRW,113,113
114,,I-71 S,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,114,114
115,2400.0, Rochester Rd,L,Sewickley,Allegheny,PA,15143,US,US/Eastern,KPIT,115,115
116,,I-77 N,R,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,116,116
117,,I-75 N,R,Cincinnati,Hamilton,OH,45215,US,US/Eastern,KLUK,117,117
118,,I-275 E,R,Cincinnati,Hamilton,OH,45241,US,US/Eastern,KHAO,118,118
119,,Northwest Fwy W,R,Westlake,Cuyahoga,OH,44145,US,US/Eastern,KCLE,119,119
120,,OH-283 W,R,Cleveland,Cuyahoga,OH,44108,US,US/Eastern,KBKL,120,120
121,,I-75 S,R,Erlanger,Kenton,KY,41018,US,US/Eastern,KCVG,121,121
122,,US-35 W,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,122,122
123,,Outerbelt E,R,Grove City,Franklin,OH,43123,US,US/Eastern,KTZR,123,123
124,,I-75 N,R,Cincinnati,Hamilton,OH,45237,US,US/Eastern,KLUK,124,124
125,,I-75 S,R,Cincinnati,Hamilton,OH,45215,US,US/Eastern,KLUK,125,125
126,,I-71 N,R,Cincinnati,Hamilton,OH,45209,US,US/Eastern,KLUK,126,126
127,,North Fwy S,R,Columbus,Franklin,OH,43203,US,US/Eastern,KCMH,127,127
128,948.0, Perry Hwy,R,Pittsburgh,Allegheny,PA,15237,US,US/Eastern,KPIT,128,128
129,770.0, Perry Hwy,R,Pittsburgh,Allegheny,PA,15229,US,US/Eastern,KPIT,129,129
130,,I-90 W,R,Cleveland,Cuyahoga,OH,44115,US,US/Eastern,KBKL,130,130
131,,S Arlington St,R,Akron,Summit,OH,44306,US,US/Eastern,KAKR,131,131
132,,I-75 N,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,132,132
133,,Northwest Fwy W,R,Westlake,Cuyahoga,OH,44145,US,US/Eastern,KCLE,133,133
134,,Detroit Toledo Expy N,R,Monroe,Monroe,MI,48162,US,US/Eastern,KTTF,134,134
135,,I-80 E,R,West Middlesex,Mercer,PA,16159,US,US/Eastern,KUCP,135,135
136,,I-69 N,R,Gaston,Delaware,IN,47342,US,US/Eastern,KMIE,136,136
137,10603.0, Purple Heart Memorial Hwy,R,Economy,Wayne,IN,47339,US,US/Eastern,KMIE,137,137
138,,I-69 N,R,Gaston,Delaware,IN,47342,US,US/Eastern,KMIE,138,138
139,,I-69 S,R,Fairmount,Grant,IN,46928,US,US/Eastern,KMZZ,139,139
140,9609.0, N State Road 1,R,Hagerstown,Wayne,IN,47346,US,US/Eastern,KMIE,140,140
141,,I-75 N,R,Cincinnati,Hamilton,OH,45202,US,US/Eastern,KLUK,141,141
142,,I-75 N,R,Walton,Boone,KY,41094,US,US/Eastern,KCVG,142,142
143,,I-75 N,R,Crittenden,Kenton,KY,41030,US,US/Eastern,KCVG,143,143
144,,I-75 N,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,144,144
145,5.0, Forest Grove Rd,L,Coraopolis,Allegheny,PA,15108,US,US/Eastern,KPIT,145,145
146,,I-80 W,R,Grove City,Mercer,PA,16127,US,US/Eastern,KUCP,146,146
147,,I-275 E,R,Cincinnati,Hamilton,OH,45230,US,US/Eastern,KLUK,147,147
148,,I-475 N,R,Holland,Lucas,OH,43528,US,US/Eastern,KTOL,148,148
149,4875.0, McKnight Rd,L,Pittsburgh,Allegheny,PA,15237,US,US/Eastern,KPIT,149,149
150,,North Fwy S,R,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,150,150
151,,Parkway East,R,Pittsburgh,Allegheny,PA,15222,US,US/Eastern,KAGC,151,151
152,,Outerbelt South Fwy W,R,Cleveland,Cuyahoga,OH,44129,US,US/Eastern,KCLE,152,152
153,,I-74 W,R,Greensburg,Decatur,IN,47240,US,US/Eastern,KBAK,153,153
154,,I-70 E,R,Greenfield,Hancock,IN,46140,US,US/Eastern,KMQJ,154,154
155,,I-70 E,R,Englewood,Montgomery,OH,45322,US,US/Eastern,KDAY,155,155
156,,I-70 W,R,Knightstown,Henry,IN,46148,US,US/Eastern,KMQJ,156,156
157,,I-70 W,R,Bentleyville,Washington,PA,15314,US,US/Eastern,KAFJ,157,157
158,,Parkway East,R,Pittsburgh,Allegheny,PA,15222,US,US/Eastern,KAGC,158,158
159,,I-70 W,R,Bentleyville,Washington,PA,15314,US,US/Eastern,KAFJ,159,159
160,,I-70 W,R,Bentleyville,Washington,PA,15314,US,US/Eastern,KAFJ,160,160
161,,I-670 W,R,Columbus,Franklin,OH,43203,US,US/Eastern,KCMH,161,161
162,,I-70 W,R,Columbus,Franklin,OH,43222,US,US/Eastern,KTZR,162,162
163,,US-421 S,R,Indianapolis,Marion,IN,46239,US,US/Eastern,KMQJ,163,163
164,,I-65 S,R,Memphis,Clark,IN,47143,US,US/Eastern,KLOU,164,164
165,,I-265 E,R,New Albany,Floyd,IN,47150,US,US/Eastern,KLOU,165,165
